Time,Temperature(c),Humidity(%),Air Quality(μg/m3)
03-23-2023_13:13:17,16.6,67.9,122.17623157444991
03-23-2023_13:13:30,16.6,67.9,81.39623706778161
03-23-2023_13:13:40,16.5,67.9,81.50249031037325
03-23-2023_13:13:56,16.6,67.9,109.91460737937561
03-23-2023_13:14:06,16.5,67.9,80.58871242408522
03-23-2023_13:14:17,16.6,68.0,103.02939725943786
03-23-2023_13:14:28,16.5,68.0,127.6588988921781
03-23-2023_13:14:38,16.5,68.0,95.42166508987701
03-23-2023_13:14:49,16.6,68.1,84.66883693960388
03-23-2023_13:14:59,16.6,68.2,126.42636127811518
03-23-2023_13:15:10,16.5,68.1,80.48245918149358
03-23-2023_13:15:20,16.5,68.1,127.70140018921478
03-23-2023_13:15:31,16.5,68.1,80.39745658742028
03-23-2023_13:15:41,16.5,68.2,127.36138981292153
03-23-2023_13:15:54,16.5,68.3,126.06510025330365
03-23-2023_13:16:05,16.5,68.3,113.56971892452772
03-23-2023_13:16:16,16.5,68.5,108.80957365642263
03-23-2023_13:16:26,16.5,68.4,98.26925199133277
03-23-2023_13:16:37,16.5,68.4,81.03497604297007
03-23-2023_13:16:47,16.5,68.3,126.12885219885864
03-23-2023_13:16:58,16.5,68.1,126.38385998107853
03-23-2023_13:17:08,16.5,67.2,125.89509506515702
03-23-2023_13:17:24,16.5,67.2,95.18790795617542
03-23-2023_13:17:34,16.6,67.6,82.39501754814296
03-23-2023_13:17:53,16.7,67.6,124.55630420850245
03-23-2023_13:18:03,16.7,67.5,83.81881099887082
03-23-2023_13:18:14,16.8,67.5,124.55630420850245
03-23-2023_13:18:24,16.9,67.4,89.49273415326397
03-23-2023_13:18:35,16.9,67.2,81.90625263222145
03-23-2023_13:18:45,17.0,67.0,81.24748252815334
03-23-2023_13:18:56,17.0,66.5,82.14000976592304
03-23-2023_13:19:06,17.1,66.6,91.25653798028505
03-23-2023_13:19:17,17.1,66.0,126.57511581774345
03-23-2023_13:19:27,17.2,65.2,124.76881069368574
03-23-2023_13:19:41,17.2,65.1,124.76881069368574
03-23-2023_13:19:51,17.3,65.0,127.06388073366499
03-23-2023_13:20:02,17.3,64.4,126.66011841181677
03-23-2023_13:20:12,17.4,64.5,85.75262001403851
03-23-2023_13:20:25,17.4,64.5,81.09872798852506
03-23-2023_13:20:38,17.5,64.6,125.95884701071199
03-23-2023_13:20:49,17.5,64.6,83.52130191961425
03-23-2023_13:20:59,17.6,64.7,108.59706717123936
03-23-2023_13:21:13,17.6,64.7,81.26873317667166
03-23-2023_13:21:23,17.6,64.7,83.92506424146245
03-23-2023_13:21:34,17.6,64.1,118.861130405591
03-23-2023_13:21:44,17.7,64.0,126.36260933256021
03-23-2023_13:21:55,17.7,63.9,101.15934018982513
03-23-2023_13:22:05,17.7,63.6,126.29885738700523
03-23-2023_13:22:16,17.8,63.6,86.11388103885008
03-23-2023_13:22:26,17.8,63.3,82.41626819666128
03-23-2023_13:22:37,17.8,63.3,96.80295724356824
03-23-2023_13:22:47,17.9,63.2,82.01250587481309
03-23-2023_13:22:58,17.9,63.2,111.0408917508469
03-23-2023_13:23:09,17.9,62.8,125.38507950071721
03-23-2023_13:23:19,18.0,62.5,83.20254219183936
03-23-2023_13:23:32,18.0,62.5,81.1412292855617
03-23-2023_13:23:43,18.0,62.5,90.91652760399182
03-23-2023_13:23:53,18.1,62.5,125.27882625812556
03-23-2023_13:24:04,18.1,62.4,82.62877468184453
03-23-2023_13:24:17,18.1,62.3,89.5139848017823
03-23-2023_13:24:27,18.1,62.1,126.5326145207068
03-23-2023_13:24:38,18.2,62.1,86.77265114291819
03-23-2023_13:24:48,18.2,61.9,80.80121890926848
03-23-2023_13:24:59,18.2,61.8,84.73258888515886
03-23-2023_13:25:10,18.2,61.6,85.39135898922697
03-23-2023_13:25:20,18.3,61.7,80.92872280037842
03-23-2023_13:25:31,18.3,61.3,84.37132786034731
03-23-2023_13:25:41,18.3,61.1,123.85503280739769
03-23-2023_13:25:52,18.3,60.9,125.76759117404707
03-23-2023_13:26:02,18.4,60.9,123.87628345591601
03-23-2023_13:26:13,18.4,60.6,125.02381847590564
03-23-2023_13:26:26,18.4,60.6,125.72508987701042
03-23-2023_13:26:37,18.4,60.4,83.39379802850429
03-23-2023_13:26:47,18.4,60.2,123.98253669850764
03-23-2023_13:26:58,18.5,60.3,93.95537034211249
03-23-2023_13:27:08,18.5,60.0,125.5338340403455
03-23-2023_13:27:19,18.5,59.9,126.17135349589527
03-23-2023_13:27:29,18.5,59.9,81.1412292855617
03-23-2023_13:27:40,18.6,60.0,122.68624713888974
03-23-2023_13:27:50,18.6,59.7,97.2704715109714
03-23-2023_13:28:03,18.6,59.6,89.98149906918546
03-23-2023_13:28:16,18.6,59.6,122.87750297555468
03-23-2023_13:28:27,18.6,59.6,125.98009765923034
03-23-2023_13:28:38,18.7,59.7,95.1666573076571
03-23-2023_13:28:48,18.7,59.7,81.09872798852506
03-23-2023_13:28:59,18.7,59.7,125.25757560960723
03-23-2023_13:29:09,18.7,59.7,123.34501724295787
03-23-2023_13:29:20,18.8,59.8,123.34501724295787
03-23-2023_13:29:38,18.7,59.7,81.05622669148839
03-23-2023_13:29:48,18.8,59.7,113.0597033600879
03-23-2023_13:29:59,18.8,59.6,125.61883663441878
03-23-2023_13:30:10,18.8,59.5,82.71377727591785
03-23-2023_13:30:23,18.8,59.5,124.11004058961761
03-23-2023_13:30:33,18.8,59.5,125.51258339182715
03-23-2023_13:30:44,18.9,59.6,91.95780938138981
03-23-2023_13:30:54,18.9,59.4,81.26873317667166
03-23-2023_13:31:05,18.9,59.2,123.23876400036622
03-23-2023_13:31:15,18.9,59.2,102.73188818018127
03-23-2023_13:31:26,18.9,59.0,122.79250038148137
03-23-2023_13:31:36,19.0,59.0,81.71499679555652
03-23-2023_13:31:47,19.0,58.9,90.85277565843685
03-23-2023_13:31:58,19.0,58.9,81.43873836481828
03-23-2023_13:32:08,19.0,58.9,125.5338340403455
03-23-2023_13:32:21,19.0,58.9,111.01964110232856
03-23-2023_13:32:32,19.0,58.6,81.226231879635
03-23-2023_13:32:42,19.1,58.5,124.0887899410993
03-23-2023_13:32:53,19.1,58.5,82.07625782036807
03-23-2023_13:33:03,19.1,58.5,100.26681295205543
03-23-2023_13:33:14,19.1,58.5,122.23998352000488
03-23-2023_13:33:24,19.1,58.3,83.35129673146764
03-23-2023_13:33:35,19.1,58.2,122.4949913022248
03-23-2023_13:33:45,19.0,54.4,82.54377208777125
03-23-2023_13:33:56,18.7,52.2,101.2868440809351
03-23-2023_13:34:07,18.5,51.7,84.11632007812739
03-23-2023_13:34:17,18.3,51.6,104.19818292794581
03-23-2023_13:34:28,18.1,51.8,123.57877437665945
03-23-2023_13:34:38,17.7,53.1,82.5862733848079
03-23-2023_13:34:51,17.7,53.1,119.1798901333659
03-23-2023_13:35:02,17.5,53.1,124.36504837183752
03-23-2023_13:35:12,17.4,53.0,105.51572313608204
03-23-2023_13:35:23,17.2,53.0,123.40876918851285
03-23-2023_13:35:33,17.0,54.2,84.6900875881222
03-23-2023_13:35:47,17.0,54.4,85.263855098117
03-23-2023_13:35:57,17.0,55.0,87.28266670735803
03-23-2023_13:36:08,16.9,55.7,123.87628345591601
03-23-2023_13:36:18,16.8,56.3,82.6712759788812
03-23-2023_13:36:29,16.8,56.8,84.52008239997559
03-23-2023_13:36:39,16.8,57.3,99.07677663502915
03-23-2023_13:36:50,16.7,57.7,121.09244850001527
03-23-2023_13:37:00,16.7,57.9,83.26629413739434
03-23-2023_13:37:11,16.6,58.6,83.1600408948027
03-23-2023_13:37:21,16.6,59.6,90.15150425733209
03-23-2023_13:37:32,16.6,59.9,118.52112002929778
03-23-2023_13:37:43,16.5,60.4,97.10046632282481
03-23-2023_13:37:53,16.6,61.3,122.68624713888974
03-23-2023_13:38:04,16.5,61.9,124.96006653035066
03-23-2023_13:38:14,16.6,62.7,101.35059602649007
03-23-2023_13:38:25,16.6,63.7,124.38629902035585
03-23-2023_13:38:35,16.6,63.7,102.26437391277813
03-23-2023_13:38:46,16.6,63.7,83.47880062257761
03-23-2023_13:38:56,16.6,64.1,124.91756523331401
03-23-2023_13:39:09,16.6,64.1,125.51258339182715
03-23-2023_13:39:20,16.6,64.7,82.01250587481309
03-23-2023_13:39:31,16.6,65.0,82.5012707907346
03-23-2023_13:39:41,16.6,65.4,83.22379284035767
03-23-2023_13:39:52,16.7,66.0,123.74877956480607
03-23-2023_13:40:05,16.7,66.0,87.7501809747612
03-23-2023_13:40:15,16.7,66.1,103.49691152684103
03-23-2023_13:40:26,16.7,66.2,121.66621601001007
03-23-2023_13:40:36,16.7,66.4,97.20671956541642
03-23-2023_13:40:47,16.7,66.4,84.6050849940489
03-23-2023_13:40:57,16.7,66.4,81.65124485000153
03-23-2023_13:41:08,16.7,66.5,118.4573680837428
03-23-2023_13:41:18,16.7,66.5,125.93759636219366
03-23-2023_13:41:29,16.7,66.6,113.16595660267954
